# Mass(M_sun) radius(r/r_sun) luminosity(L/L_sun) age(yrs) 
5.0e-1 4.6e-1 4.1e-2 1.25e8
7.0e-1 6.6e-1 1.81e-1 7.06e7
1.0e0 1.14e0 1.0e0 3.35e7
2.0e0 2.08e0 1.88e1 5.71e6
5.0e0 2.69e0 4.98e2 9.1e5
1.0e1 4.02e0 5.13e3 1.77e5
2.0e1 5.91e0 3.91e4 5.51e4
5.0e1 9.65e0 3.32e5 1.84e4
1.0e2 1.72e1 1.24e6 6.69e3

